freq,ceparema,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA1,MIO_NAC,FI,,,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,0.1,,
A,CEPA1,MIO_NAC,FR,6.2,6.2,8.2,9.3,9.3,9.3,9.3,9.8,11.0,10.6,10.4,22.5,7.6,8.3,10.1,14.7,14.7,,
A,CEPA1,MIO_NAC,HR,,,,,,,,,0.6,0.6,0.5,0.4,0.4,0.5,0.7,0.7,0.7,,
A,CEPA1,MIO_NAC,HU,,,,,,,,,327.0,4291.0,9.3,103.0,3.3,32.3,3633.9,936.0,63.3,,
A,CEPA1,MIO_NAC,IE,,,,,,,,,8.5,10.7,7.9,13.9,9.1,9.2,15.8,20.9,5.2,,
A,CEPA1,MIO_NAC,IS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,IT,,,,,,,,,,,13.9,9.6,8.1,12.1,47.9,31.3,58.4,,
A,CEPA1,MIO_NAC,LT,1.0,1.3,0.8,0.8,0.5,1.8,1.8,1.4,1.1,0.9,0.8,5.1,4.7,6.5,3.7,2.4,2.8,,
A,CEPA1,MIO_NAC,LU,,,10.3,14.0,14.2,6.2,4.1,0.7,2.1,2.3,1.9,1.8,2.6,2.1,1.1,3.9,2.7,,
A,CEPA1,MIO_NAC,LV,,,0.3,0.8,2.7,11.7,14.1,1.4,17.3,1.3,0.7,4.9,4.5,6.3,6.9,10.3,5.4,,
A,CEPA1,MIO_NAC,MT,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,
A,CEPA1,MIO_NAC,NL,,,,,,,,43.1,42.7,23.8,19.1,10.3,10.2,11.5,14.4,13.6,15.2,,
A,CEPA1,MIO_NAC,NO,,,,,,,,,65.3,132.8,129.7,137.8,147.5,214.8,236.7,214.5,98.7,,
A,CEPA1,MIO_NAC,PL,,,,,47.2,117.7,87.3,126.0,205.0,360.4,165.0,144.2,173.0,156.3,233.3,261.7,277.9,,
A,CEPA1,MIO_NAC,PT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,
A,CEPA1,MIO_NAC,RO,101.9,131.5,172.5,261.5,933.9,1079.7,407.0,927.2,353.2,422.0,36.0,8.2,7.7,8.0,26.0,56.7,67.8,,
A,CEPA1,MIO_NAC,SE,0.5,0.4,0.8,64.6,2.1,64.6,166.7,290.6,302.9,416.2,468.7,504.1,624.7,678.7,871.3,481.7,409.0,,
A,CEPA1,MIO_NAC,SI,,,,,,,,,7.4,2.7,0.1,0.5,0.7,4.1,8.6,24.9,24.5,,
A,CEPA1,MIO_NAC,SK,,,,,,,,,6.1,12.7,5.4,4.0,18.6,35.4,38.1,23.9,26.8,,
A,CEPA112_122,MIO_EUR,HR,,,,,,,,,,,,,,0.0,,,,,
A,CEPA112_122,MIO_EUR,IE,,,,,,,,,8.5,10.7,7.9,13.9,9.1,9.2,15.8,20.9,5.2,,
A,CEPA112_122,MIO_EUR,MT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA112_122,MIO_EUR,NL,,,,,,,,,,,,,2.5,1.3,2.2,2.7,1.4,,
A,CEPA112_122,MIO_NAC,HR,,,,,,,,,,,,,,0.0,,,,,
A,CEPA112_122,MIO_NAC,IE,,,,,,,,,8.5,10.7,7.9,13.9,9.1,9.2,15.8,20.9,5.2,,
A,CEPA112_122,MIO_NAC,MT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA112_122,MIO_NAC,NL,,,,,,,,,,,,,2.5,1.3,2.2,2.7,1.4,,
A,CEPA2,MIO_EUR,AT,29.8,25.4,17.1,20.1,4.2,3.1,2.9,1.0,5.6,8.7,9.6,7.4,9.2,17.0,7.9,3.0,2.4,,
A,CEPA2,MIO_EUR,BE,,,,,,,,,84.6,158.7,110.4,133.7,160.7,135.1,141.4,167.5,210.3,,
A,CEPA2,MIO_EUR,BG,36.7,53.2,81.5,71.4,52.1,55.3,36.8,141.3,408.6,505.6,69.6,72.8,108.9,56.1,85.6,48.2,33.7,,
A,CEPA2,MIO_EUR,CH,,,,,,,,,461.2,528.3,508.3,505.9,459.0,529.2,571.1,557.9,608.3,,
A,CEPA2,MIO_EUR,CY,,,,,16.6,22.2,16.5,17.3,17.1,11.7,11.0,11.2,18.2,17.8,12.2,31.7,69.1,,
A,CEPA2,MIO_EUR,CZ,,,,,,,623.8,454.2,492.4,718.1,289.0,401.8,445.5,445.4,465.9,539.4,500.9,,
A,CEPA2,MIO_EUR,DE,,,,,1154.0,1219.0,1312.0,1476.0,1462.0,1417.0,1426.0,818.0,1371.0,1440.2,1521.0,1799.0,1968.0,,
A,CEPA2,MIO_EUR,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA2,MIO_EUR,EE,,,,,,,,,3.6,3.6,0.4,0.6,0.8,0.7,1.0,1.3,1.5,,
A,CEPA2,MIO_EUR,EL,,,,,,,,,288.0,233.0,143.0,81.0,96.0,70.0,77.0,73.0,99.0,,
A,CEPA2,MIO_EUR,ES,,,,,855.0,312.0,375.0,298.0,327.0,399.0,279.0,277.0,311.0,348.0,331.0,427.0,488.0,665.0,
A,CEPA2,MIO_EUR,EU27_2020,11185.6,12097.4,12069.9,11616.6,11448.5,10555.7,10499.8,10767.4,10996.5,11050.5,8667.6,8627.7,10170.1,10434.3,10399.1,11074.2,12047.1,13576.3,12867.5
A,CEPA2,MIO_EUR,FI,,,,,,,,,0.1,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,,
A,CEPA2,MIO_EUR,FR,3662.1,3903.4,4065.1,3968.3,3794.7,3365.6,3587.1,3674.6,3699.3,3628.0,3673.5,3991.4,4072.6,3965.6,3594.4,4132.3,4414.8,,
A,CEPA2,MIO_EUR,HR,,,,,,,,,15.0,19.0,12.5,12.7,19.9,27.8,38.2,39.4,41.3,,
A,CEPA2,MIO_EUR,HU,,,,,,,,,561.2,547.9,87.1,119.3,172.6,279.6,236.8,197.4,186.6,,
A,CEPA2,MIO_EUR,IE,,,605.7,431.9,348.2,215.4,156.8,268.4,413.6,388.8,293.6,300.8,371.9,526.4,540.1,499.0,401.7,,
A,CEPA2,MIO_EUR,IS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA2,MIO_EUR,IT,,,413.6,409.8,327.5,291.0,274.2,227.6,176.8,206.2,179.5,155.1,168.6,133.5,322.6,135.0,329.0,,
