freq,ceparema,env_econ,nace_r2,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA1,EPS_INV_PP,B,MIO_EUR,LT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,LV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,MK,,,,,,,,,,,,,,,0.0,0.0,,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,MT,,,,,,,,,,,,,,,,,,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,NO,,,,,,,,,,,,,,,,,,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,PL,,,,,,,,,3.1,1.4,5.8,2.1,6.2,13.7,22.2,19.1,12.8,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,PT,,,,,,,,,4.5,0.4,0.5,0.0,0.5,2.2,0.5,2.8,,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,RO,,,,,,,,,3.2,2.4,2.2,2.4,2.7,3.8,8.1,5.3,3.0,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,RS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.6,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,SE,,,,,,,,,,,,,,32.9,,36.5,,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,SI,,,,,,,,,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.1,0.0,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,AT,,,,,,,,,0.6,3.0,1.4,0.8,2.6,3.2,2.0,2.6,8.8,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,BA,,,,,,,,,,,,,,,,,0.1,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,BE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,BG,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,
