freq,ceparema,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA1,MIO_NAC,FI,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,HR,,,,,,,,,0.4,0.2,0.2,0.2,0.0,0.0,0.1,0.0,0.0,,
A,CEPA1,MIO_NAC,HU,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,IE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,IS,,,,,,,,,14.0,21.2,13.3,15.0,16.1,16.6,16.4,18.9,18.8,,
A,CEPA1,MIO_NAC,IT,,,,,,,,,,,27.7,32.3,37.6,41.1,34.3,44.2,65.1,,
A,CEPA1,MIO_NAC,LT,,,,,1.4,6.8,7.4,16.7,15.1,1.0,1.9,10.5,5.5,0.7,5.7,11.2,6.1,,
A,CEPA1,MIO_NAC,LU,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,LV,,,0.0,0.1,0.3,0.5,6.7,1.1,3.7,3.7,0.4,0.2,0.3,1.5,1.8,0.8,0.2,,
A,CEPA1,MIO_NAC,MK,,,,,,,,,,,,,,,447.8,796.8,,,
A,CEPA1,MIO_NAC,MT,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,NL,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,NO,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,PL,,,,,13.6,10.2,52.5,18.3,55.1,23.4,12.1,8.7,14.7,18.4,10.1,21.8,45.4,,
A,CEPA1,MIO_NAC,PT,,,,,,,,,2.8,1.8,2.3,9.8,15.4,5.8,9.3,12.9,10.0,,
A,CEPA1,MIO_NAC,RO,2.7,3.7,1.3,7.7,5.7,11.4,5.8,4.2,0.6,8.3,0.0,0.0,0.3,2.3,0.2,0.0,0.0,,
A,CEPA1,MIO_NAC,RS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,SE,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,SI,,,0.1,0.1,0.1,0.3,0.2,0.0,0.3,0.1,0.0,0.2,0.0,0.9,0.0,0.0,0.0,,
A,CEPA1,MIO_NAC,SK,,,,,,,,,,,35.4,56.5,64.0,64.4,24.6,21.5,38.2,,
A,CEPA112_122,MIO_EUR,MT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA112_122,MIO_EUR,SI,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
A,CEPA112_122,MIO_NAC,MT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA112_122,MIO_NAC,SI,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
A,CEPA2,MIO_EUR,AT,660.6,662.1,619.3,570.6,484.2,443.8,432.6,411.8,95.7,118.2,109.9,449.8,492.8,530.1,473.6,513.4,484.6,,
A,CEPA2,MIO_EUR,BA,,,,,,,,,,,,,,,,,0.5,,
A,CEPA2,MIO_EUR,BE,,,,,,,,,61.0,60.6,60.6,72.5,89.7,93.3,89.3,80.5,104.1,,
A,CEPA2,MIO_EUR,BG,14.5,36.0,59.3,0.9,5.9,25.9,4.3,4.0,2.3,2.2,0.9,1.2,0.8,0.4,0.4,8.0,7.0,,
A,CEPA2,MIO_EUR,CH,,,,,,,,,238.5,160.9,183.3,181.6,184.4,191.1,216.7,219.4,239.4,,
A,CEPA2,MIO_EUR,CY,,,,,92.2,91.9,92.0,87.1,14.7,24.2,14.8,38.7,0.4,0.8,0.4,0.2,0.0,,
A,CEPA2,MIO_EUR,CZ,,,,,,,21.3,15.3,14.7,12.3,13.7,16.6,12.2,15.9,15.5,24.1,25.0,,
A,CEPA2,MIO_EUR,DE,,,,,4236.0,4163.0,4434.0,4154.0,4777.0,4283.0,4192.0,4765.0,5310.0,5321.8,5657.0,5021.0,5489.0,,
A,CEPA2,MIO_EUR,DK,312.5,439.1,498.2,421.9,588.3,662.5,669.0,794.3,515.1,898.5,869.3,994.4,791.6,782.7,914.7,1007.4,1012.4,,
A,CEPA2,MIO_EUR,EE,,,,,,,,,74.2,44.2,29.8,20.0,29.0,31.2,38.9,38.4,57.2,,
A,CEPA2,MIO_EUR,EL,,,,,,,,,11.1,3.7,5.6,3.6,2.9,3.4,4.0,2.2,2.8,,
A,CEPA2,MIO_EUR,ES,,,,,586.5,311.4,179.1,148.4,126.9,129.6,114.4,102.5,86.0,96.2,91.5,118.0,134.9,142.0,
A,CEPA2,MIO_EUR,EU27_2020,9147.2,9335.1,9503.2,8981.2,9009.4,8700.5,8943.2,8407.3,8376.7,8439.4,7673.7,8772.0,9452.6,10182.2,10413.5,10511.6,11605.2,12145.1,12320.2
A,CEPA2,MIO_EUR,FI,,,,,,,,,208.0,149.0,166.0,125.0,181.0,122.0,133.0,135.0,132.0,,
A,CEPA2,MIO_EUR,FR,541.8,645.6,597.1,641.8,571.6,884.9,584.7,615.1,342.5,113.6,138.7,98.6,144.5,416.2,265.7,266.0,224.2,,
A,CEPA2,MIO_EUR,HR,,,,,,,,,16.6,20.8,23.8,14.2,19.1,20.5,22.6,25.5,24.4,,
A,CEPA2,MIO_EUR,HU,,,,,,,,,239.3,227.1,129.8,124.1,131.0,184.2,163.5,174.3,268.1,,
A,CEPA2,MIO_EUR,IE,,,1.8,1.5,1.1,1.0,1.1,1.1,1.2,1.0,1.0,3.6,1.0,1.4,1.4,3.0,1.8,,
A,CEPA2,MIO_EUR,IS,,,,,,,,,4.7,8.1,14.9,14.7,12.0,12.9,13.5,15.8,21.7,,
A,CEPA2,MIO_EUR,IT,,,679.3,684.8,757.4,683.2,844.8,655.7,655.9,892.9,1006.5,1147.7,1184.4,1368.0,1299.0,1777.8,2106.9,,
A,CEPA2,MIO_EUR,LT,,,,,55.4,71.7,33.4,33.2,37.7,17.8,8.4,18.8,27.0,63.3,77.4,62.1,80.0,,
A,CEPA2,MIO_EUR,LU,,,73.6,86.5,58.6,70.1,70.8,98.9,107.2,105.5,123.3,160.4,190.7,175.3,192.9,190.1,222.8,,
A,CEPA2,MIO_EUR,LV,,,88.9,50.5,19.3,17.4,51.2,37.8,50.2,47.5,11.8,26.0,16.3,30.1,34.8,48.9,21.2,,
A,CEPA2,MIO_EUR,MK,,,,,,,,,,,,,,,41.6,40.6,,,
A,CEPA2,MIO_EUR,MT,,,,,,,,0.8,0.2,7.1,0.5,3.4,22.7,22.3,20.8,22.7,24.8,,
A,CEPA2,MIO_EUR,NL,,,,,,,,35.9,70.1,26.4,91.5,56.6,32.8,36.3,122.5,155.7,73.4,,
A,CEPA2,MIO_EUR,NO,,,,,,,,,21.1,16.4,8.9,7.0,19.2,25.5,36.9,14.5,43.2,,
