year,geo,country_name,ceparema,activity,inv_gov,inv_corp_spec,inv_corp_anc,inv_corp_total,inv_total
2014,AT,Austria,CEPA1,Protection of ambient air and climate,6200000,5800000,103500000,109300000,115500000
2014,BE,Belgium,CEPA1,Protection of ambient air and climate,3500000,10200000,161100000,171300000,174800000
2014,BG,Bulgaria,CEPA1,Protection of ambient air and climate,1700000,0,174900000,174900000,176600000
2014,CH,Switzerland,CEPA1,Protection of ambient air and climate,1600000,5800000,114200000,120000000,121600000
2014,DE,Germany,CEPA1,Protection of ambient air and climate,,,857300000,857300000,857300000
2014,EL,Greece,CEPA1,Protection of ambient air and climate,0,0,4300000,4300000,4300000
2014,FI,Finland,CEPA1,Protection of ambient air and climate,0,0,,0,0
2014,HR,Croatia,CEPA1,Protection of ambient air and climate,600000,300000,26200000,26500000,27100000
2014,IE,Ireland,CEPA1,Protection of ambient air and climate,8500000,0,2000000,2000000,10500000
2014,LT,Lithuania,CEPA1,Protection of ambient air and climate,1100000,15100000,88500000,103600000,104700000
2014,LV,Latvia,CEPA1,Protection of ambient air and climate,17300000,3700000,,3700000,21000000
2014,MT,Malta,CEPA1,Protection of ambient air and climate,0,0,0,0,0
2014,NO,Norway,CEPA1,Protection of ambient air and climate,7800000,,57300000,57300000,65100000
2014,PL,Poland,CEPA1,Protection of ambient air and climate,49000000,13200000,1027300000,1040500000,1089500000
2014,PT,Portugal,CEPA1,Protection of ambient air and climate,0,2800000,38300000,41100000,41100000
2014,RO,Romania,CEPA1,Protection of ambient air and climate,79500000,100000,221600000,221700000,301200000
2014,SE,Sweden,CEPA1,Protection of ambient air and climate,33300000,,,0,33300000
2014,SI,Slovenia,CEPA1,Protection of ambient air and climate,7400000,300000,108600000,108900000,116300000
2014,HR,Croatia,CEPA112_122,Protection of climate and ozone layer,,,,0,0
2014,IE,Ireland,CEPA112_122,Protection of climate and ozone layer,8500000,,,0,8500000
2014,MT,Malta,CEPA112_122,Protection of climate and ozone layer,0,0,0,0,0
2014,AT,Austria,CEPA2,Wastewater management,5600000,95700000,24400000,120100000,125700000
2014,BE,Belgium,CEPA2,Wastewater management,84600000,61000000,211000000,272000000,356600000
2014,BG,Bulgaria,CEPA2,Wastewater management,408600000,2300000,17200000,19500000,428100000
2014,CH,Switzerland,CEPA2,Wastewater management,461200000,238500000,70200000,308700000,769900000
2014,DE,Germany,CEPA2,Wastewater management,1462000000,4777000000,1163000000,5940000000,7402000000
2014,EL,Greece,CEPA2,Wastewater management,288000000,11100000,11300000,22400000,310400000
2014,FI,Finland,CEPA2,Wastewater management,100000,208000000,,208000000,208100000
2014,HR,Croatia,CEPA2,Wastewater management,15000000,16600000,74400000,91000000,106000000
2014,IE,Ireland,CEPA2,Wastewater management,413600000,1200000,17300000,18500000,432100000
2014,LT,Lithuania,CEPA2,Wastewater management,2900000,37700000,13400000,51100000,54000000
2014,LV,Latvia,CEPA2,Wastewater management,7100000,50200000,,50200000,57300000
2014,MT,Malta,CEPA2,Wastewater management,0,200000,300000,500000,500000
2014,NO,Norway,CEPA2,Wastewater management,667200000,21100000,22900000,44000000,711200000
2014,PL,Poland,CEPA2,Wastewater management,709400000,659300000,138000000,797300000,1506700000
2014,PT,Portugal,CEPA2,Wastewater management,149300000,55100000,17200000,72300000,221600000
2014,RO,Romania,CEPA2,Wastewater management,160700000,2500000,211900000,214400000,375100000
2014,SE,Sweden,CEPA2,Wastewater management,322400000,114600000,,114600000,437000000
2014,SI,Slovenia,CEPA2,Wastewater management,215800000,1100000,13100000,14200000,230000000
2014,AT,Austria,CEPA3,Waste management,2900000,160000000,26800000,186800000,189700000
2014,BE,Belgium,CEPA3,Waste management,128200000,602200000,22200000,624400000,752600000
2014,BG,Bulgaria,CEPA3,Waste management,147100000,31100000,25000000,56100000,203200000
2014,CH,Switzerland,CEPA3,Waste management,448900000,127100000,72700000,199800000,648700000
2014,DE,Germany,CEPA3,Waste management,718000000,1109000000,226600000,1335600000,2053600000
2014,EL,Greece,CEPA3,Waste management,394000000,56600000,8700000,65300000,459300000
2014,FI,Finland,CEPA3,Waste management,100000,95000000,,95000000,95100000
2014,HR,Croatia,CEPA3,Waste management,54700000,22400000,4700000,27100000,81800000
2014,IE,Ireland,CEPA3,Waste management,22300000,42500000,22000000,64500000,86800000
2014,LT,Lithuania,CEPA3,Waste management,15400000,25000000,2400000,27400000,42800000
2014,LV,Latvia,CEPA3,Waste management,4700000,20000000,,20000000,24700000
2014,MT,Malta,CEPA3,Waste management,18600000,1200000,2400000,3600000,22200000
2014,NO,Norway,CEPA3,Waste management,80400000,80200000,125300000,205500000,285900000
2014,PL,Poland,CEPA3,Waste management,40900000,346800000,84100000,430900000,471800000
2014,PT,Portugal,CEPA3,Waste management,7800000,65200000,8800000,74000000,81800000
2014,RO,Romania,CEPA3,Waste management,136100000,46100000,23900000,70000000,206100000
2014,SE,Sweden,CEPA3,Waste management,316700000,198200000,,198200000,514900000
2014,SI,Slovenia,CEPA3,Waste management,20800000,24300000,40200000,64500000,85300000
2014,AT,Austria,CEPA4,"Protection and remediation of soil, groundwater and surface water",0,75800000,28200000,104000000,104000000
2014,BE,Belgium,CEPA4,"Protection and remediation of soil, groundwater and surface water",41100000,30700000,25500000,56200000,97300000
2014,BG,Bulgaria,CEPA4,"Protection and remediation of soil, groundwater and surface water",2900000,0,1300000,1300000,4200000
2014,CH,Switzerland,CEPA4,"Protection and remediation of soil, groundwater and surface water",20200000,1400000,,1400000,21600000
2014,DE,Germany,CEPA4,"Protection and remediation of soil, groundwater and surface water",,35000000,48300000,83300000,83300000
2014,EL,Greece,CEPA4,"Protection and remediation of soil, groundwater and surface water",0,1000000,0,1000000,1000000
2014,FI,Finland,CEPA4,"Protection and remediation of soil, groundwater and surface water",1000000,7000000,,7000000,8000000
2014,HR,Croatia,CEPA4,"Protection and remediation of soil, groundwater and surface water",28600000,0,5000000,5000000,33600000
2014,IE,Ireland,CEPA4,"Protection and remediation of soil, groundwater and surface water",1800000,0,3400000,3400000,5200000
2014,LT,Lithuania,CEPA4,"Protection and remediation of soil, groundwater and surface water",0,400000,100000,500000,500000
2014,LV,Latvia,CEPA4,"Protection and remediation of soil, groundwater and surface water",0,1100000,,1100000,1100000
2014,MT,Malta,CEPA4,"Protection and remediation of soil, groundwater and surface water",0,0,0,0,0
2014,NO,Norway,CEPA4,"Protection and remediation of soil, groundwater and surface water",2300000,1200000,2000000,3200000,5500000
2014,PL,Poland,CEPA4,"Protection and remediation of soil, groundwater and surface water",6900000,0,8300000,8300000,15200000
2014,PT,Portugal,CEPA4,"Protection and remediation of soil, groundwater and surface water",0,700000,,700000,700000
